movie_id,title_clean,year,rating_count,rating_mean
318,"Shawshank Redemption, The",1994,102929,4.404613860039444
356,Forrest Gump,1994,100296,4.052743878120762
296,Pulp Fiction,1994,98409,4.196968773181315
2571,"Matrix, The",1999,93808,4.156436551253624
593,"Silence of the Lambs, The",1991,90330,4.148367098416916
260,Star Wars: Episode IV - A New Hope,1977,85010,4.099823550170568
2959,Fight Club,1999,77332,4.228779806548388
480,Jurassic Park,1993,75233,3.698622944718408
527,Schindler's List,1993,73849,4.23699034516378
4993,"Lord of the Rings: The Fellowship of the Ring, The",2001,73122,4.0921336943737865
