movie_id,title_clean,year,rating_mean,rating_count
171011,Planet Earth II,2016,4.446830265848671,1956
159817,Planet Earth,2006,4.444369063772049,2948
170705,Band of Brothers,2001,4.426538598363572,2811
318,"Shawshank Redemption, The",1994,4.404613860039444,102929
171495,Cosmos,,4.330081300813008,615
858,"Godfather, The",1972,4.317030403371463,66440
202439,Parasite,2019,4.312253641816624,11670
179135,Blue Planet II,2017,4.300085984522786,1163
198185,Twin Peaks,1989,4.298684210526316,1140
220528,Twelve Angry Men,1954,4.28619153674833,449
